fips,state_abbr,state_name,county_name,place,year,net_migration_rate,natural_increase_rate,births_rate,deaths_rate,unintentional_overdose_rate,substance_abuse,uninsured,unemployment_rate,median_household_income,advanced_degrees,bachelors_degrees
01001,AL,Alabama,Autauga County,"Autauga County, AL",2010,,,,,,8.44,13.6,5.3,53049,,
01001,AL,Alabama,Autauga County,"Autauga County, AL",2011,,,,,,,13.9,5.3,48863,,
01001,AL,Alabama,Autauga County,"Autauga County, AL",2012,,,,,,,12.8,5.3,51441,,
01001,AL,Alabama,Autauga County,"Autauga County, AL",2013,,,,,,,13.4,5.3,51868,,
01001,AL,Alabama,Autauga County,"Autauga County, AL",2014,,,,,,8.93,11,5.3,54366,,
01001,AL,Alabama,Autauga County,"Autauga County, AL",2015,-2.187333351,2.404258973,10.84628108,8.442022108,,,9.4,5.3,56580,6.410604661,8.868003115
01001,AL,Alabama,Autauga County,"Autauga County, AL",2016,4.255280622,2.480738065,11.42588116,8.945143095,,,,5.3,54487,6.837544733,9.453396065
01001,AL,Alabama,Autauga County,"Autauga County, AL",2017,,,,,,,,5.3,,,
01003,AL,Alabama,Baldwin County,"Baldwin County, AL",2010,,,,,13.2,14.78,19.1,5.4,47618,,
01003,AL,Alabama,Baldwin County,"Baldwin County, AL",2011,,,,,12.3,,16.6,5.4,50144,,
01003,AL,Alabama,Baldwin County,"Baldwin County, AL",2012,,,,,12.6,,15.8,5.4,48867,,
01003,AL,Alabama,Baldwin County,"Baldwin County, AL",2013,,,,,10.2,,17.4,5.4,47539,,
01003,AL,Alabama,Baldwin County,"Baldwin County, AL",2014,,,,,16,15.98,16.1,5.4,49626,,
01003,AL,Alabama,Baldwin County,"Baldwin County, AL",2015,18.29349912,1.229481783,11.10499675,9.875514969,19.6,,11.5,5.4,52387,6.827558284,13.52391593
01003,AL,Alabama,Baldwin County,"Baldwin County, AL",2016,20.80761086,0.781073758,11.03206041,10.25098665,,,,5.4,56460,7.164553155,13.561225
01003,AL,Alabama,Baldwin County,"Baldwin County, AL",2017,,,,,,,,5.4,,,
01005,AL,Alabama,Barbour County,"Barbour County, AL",2010,,,,,,8.03,18.5,8.6,33074,,
01005,AL,Alabama,Barbour County,"Barbour County, AL",2011,,,,,,,18.9,8.6,30117,,
01005,AL,Alabama,Barbour County,"Barbour County, AL",2012,,,,,,,17.5,8.6,30287,,
01005,AL,Alabama,Barbour County,"Barbour County, AL",2013,,,,,,,17.5,8.6,30981,,
01005,AL,Alabama,Barbour County,"Barbour County, AL",2014,,,,,,8.28,15.3,8.6,34971,,
01005,AL,Alabama,Barbour County,"Barbour County, AL",2015,-10.54329881,-1.500825454,10.09305118,11.59387663,,,13.3,8.6,31433,3.497697906,5.242833804
01005,AL,Alabama,Barbour County,"Barbour County, AL",2016,-9.686991481,-2.335598736,9.686991481,12.02259022,,,,8.6,32884,3.513188547,5.376869317
01005,AL,Alabama,Barbour County,"Barbour County, AL",2017,,,,,,,,8.6,,,
01007,AL,Alabama,Bibb County,"Bibb County, AL",2010,,,,,,12.52,17.7,6.6,35472,,
01007,AL,Alabama,Bibb County,"Bibb County, AL",2011,,,,,,,16,6.6,37347,,
01007,AL,Alabama,Bibb County,"Bibb County, AL",2012,,,,,,,15.1,6.6,37392,,
01007,AL,Alabama,Bibb County,"Bibb County, AL",2013,,,,,,,15.1,6.6,39781,,
01007,AL,Alabama,Bibb County,"Bibb County, AL",2014,,,,,,14.44,13.6,6.6,39546,,
01007,AL,Alabama,Bibb County,"Bibb County, AL",2015,1.107861384,1.329433661,11.21155721,9.882123549,,,11.9,6.6,40767,3.176428951,4.185099982
